date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:12	1745/1745	---M-Z	200	added ('OK')	text/html	etag:%229ac6ca696b73d938b6ddd51d48271b25%22	https://baixns.onrender.com/	C:/My%20Web%20Sites/sharepoint/baixns.onrender.com/index.html	(from )
11:05:12	34/34	---M-Z	404	error ('Not%20Found')	text/plain	date:Wed,%2022%20Jun%202022%2010:05:12%20GMT	https://baixns.onrender.com/robots.txt		(from )
11:05:15	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/sharepoint/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://baixns.onrender.com/)
11:05:18	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/sharepoint/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://baixns.onrender.com/)
11:05:18	89476/89476	---MCZ	200	added ('OK')	text/javascript	etag:%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://baixns.onrender.com/jquery.min.js	C:/My%20Web%20Sites/sharepoint/baixns.onrender.com/jquery.min.js	(from https://baixns.onrender.com/)
11:05:19	1523/1523	---M-Z	200	added ('OK')	text/css	etag:%22197201dce9994eceaf55cc490b76eb94%22	https://baixns.onrender.com/style.css	C:/My%20Web%20Sites/sharepoint/baixns.onrender.com/style.css	(from https://baixns.onrender.com/)
11:05:20	4588/4588	---M--	200	added ('OK')	image/jpeg	etag:%2262786d4854d7dc18c1bec2fc8869e315%22	https://baixns.onrender.com/loo.jpg	C:/My%20Web%20Sites/sharepoint/baixns.onrender.com/loo.jpg	(from https://baixns.onrender.com/)
11:05:22	10/10	---M-Z	404	error ('Not%20Found')	text/plain	date:Wed,%2022%20Jun%202022%2010:05:22%20GMT	https://baixns.onrender.com/vd	C:/My%20Web%20Sites/sharepoint/baixns.onrender.com/vd	(from https://baixns.onrender.com/)
11:05:23	28173/28173	---M--	200	added ('OK')	image/png	etag:%22c294155a2c1a110a9a4d8380218d2c26%22	https://baixns.onrender.com/pnt.png	C:/My%20Web%20Sites/sharepoint/baixns.onrender.com/pnt.png	(from https://baixns.onrender.com/)
11:05:27	5929507/5929507	---M--	200	added ('OK')	video/mp4	etag:%22c323017397a13a271d68d5c41cc14a60%22	https://baixns.onrender.com/vd.mp4	C:/My%20Web%20Sites/sharepoint/baixns.onrender.com/vd.mp4	(from https://baixns.onrender.com/)
